DBN,School Name_x,Year_x,% Level 3+4_x,Full Time_x,School Name_y,Year_y,% Level 3+4_y,Full Time_y
03M421,WEST PREP ACADEMY,2017,16.9,0.0,WEST PREP ACADEMY,2018,40.0,1.0
03M421,WEST PREP ACADEMY,2017,16.9,0.0,WEST PREP ACADEMY,2018,65.6,1.0
03M421,WEST PREP ACADEMY,2017,16.9,0.0,WEST PREP ACADEMY,2018,13.0,1.0
03M421,WEST PREP ACADEMY,2017,16.9,0.0,WEST PREP ACADEMY,2018,12.7,1.0
03M421,WEST PREP ACADEMY,2017,16.9,0.0,WEST PREP ACADEMY,2018,7.3,1.0
03M421,WEST PREP ACADEMY,2017,35.4,0.0,WEST PREP ACADEMY,2018,31.1,1.0
03M421,WEST PREP ACADEMY,2017,35.4,0.0,WEST PREP ACADEMY,2018,40.0,1.0
03M421,WEST PREP ACADEMY,2017,35.4,0.0,WEST PREP ACADEMY,2018,65.6,1.0
03M421,WEST PREP ACADEMY,2017,35.4,0.0,WEST PREP ACADEMY,2018,13.0,1.0
03M421,WEST PREP ACADEMY,2017,35.4,0.0,WEST PREP ACADEMY,2018,12.7,1.0
03M421,WEST PREP ACADEMY,2017,35.4,0.0,WEST PREP ACADEMY,2018,7.3,1.0
03M421,WEST PREP ACADEMY,2017,42.9,0.0,WEST PREP ACADEMY,2018,31.1,1.0
03M421,WEST PREP ACADEMY,2017,42.9,0.0,WEST PREP ACADEMY,2018,40.0,1.0
03M421,WEST PREP ACADEMY,2017,42.9,0.0,WEST PREP ACADEMY,2018,65.6,1.0
03M421,WEST PREP ACADEMY,2017,42.9,0.0,WEST PREP ACADEMY,2018,13.0,1.0
03M421,WEST PREP ACADEMY,2017,42.9,0.0,WEST PREP ACADEMY,2018,12.7,1.0
03M421,WEST PREP ACADEMY,2017,42.9,0.0,WEST PREP ACADEMY,2018,7.3,1.0
03M421,WEST PREP ACADEMY,2017,20.7,0.0,WEST PREP ACADEMY,2018,31.1,1.0
03M421,WEST PREP ACADEMY,2017,20.7,0.0,WEST PREP ACADEMY,2018,40.0,1.0
03M421,WEST PREP ACADEMY,2017,20.7,0.0,WEST PREP ACADEMY,2018,65.6,1.0
03M421,WEST PREP ACADEMY,2017,20.7,0.0,WEST PREP ACADEMY,2018,13.0,1.0
03M421,WEST PREP ACADEMY,2017,20.7,0.0,WEST PREP ACADEMY,2018,12.7,1.0
03M421,WEST PREP ACADEMY,2017,20.7,0.0,WEST PREP ACADEMY,2018,7.3,1.0
03M421,WEST PREP ACADEMY,2017,10.8,0.0,WEST PREP ACADEMY,2018,31.1,1.0
03M421,WEST PREP ACADEMY,2017,10.8,0.0,WEST PREP ACADEMY,2018,40.0,1.0
03M421,WEST PREP ACADEMY,2017,10.8,0.0,WEST PREP ACADEMY,2018,65.6,1.0
03M421,WEST PREP ACADEMY,2017,10.8,0.0,WEST PREP ACADEMY,2018,13.0,1.0
03M421,WEST PREP ACADEMY,2017,10.8,0.0,WEST PREP ACADEMY,2018,12.7,1.0
03M421,WEST PREP ACADEMY,2017,10.8,0.0,WEST PREP ACADEMY,2018,7.3,1.0
03M421,WEST PREP ACADEMY,2017,2.9,0.0,WEST PREP ACADEMY,2018,31.1,1.0
03M421,WEST PREP ACADEMY,2017,2.9,0.0,WEST PREP ACADEMY,2018,40.0,1.0
03M421,WEST PREP ACADEMY,2017,2.9,0.0,WEST PREP ACADEMY,2018,65.6,1.0
03M421,WEST PREP ACADEMY,2017,2.9,0.0,WEST PREP ACADEMY,2018,13.0,1.0
03M421,WEST PREP ACADEMY,2017,2.9,0.0,WEST PREP ACADEMY,2018,12.7,1.0
03M421,WEST PREP ACADEMY,2017,2.9,0.0,WEST PREP ACADEMY,2018,7.3,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,11.1,0.0,P.S. 194 COUNTEE CULLEN,2018,16.7,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,11.1,0.0,P.S. 194 COUNTEE CULLEN,2018,15.6,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,11.1,0.0,P.S. 194 COUNTEE CULLEN,2018,28.9,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,11.1,0.0,P.S. 194 COUNTEE CULLEN,2018,20.8,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,11.1,0.0,P.S. 194 COUNTEE CULLEN,2018,14.3,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,11.1,0.0,P.S. 194 COUNTEE CULLEN,2018,19.5,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,18.9,0.0,P.S. 194 COUNTEE CULLEN,2018,16.7,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,18.9,0.0,P.S. 194 COUNTEE CULLEN,2018,15.6,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,18.9,0.0,P.S. 194 COUNTEE CULLEN,2018,28.9,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,18.9,0.0,P.S. 194 COUNTEE CULLEN,2018,20.8,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,18.9,0.0,P.S. 194 COUNTEE CULLEN,2018,14.3,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,18.9,0.0,P.S. 194 COUNTEE CULLEN,2018,19.5,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,5.0,0.0,P.S. 194 COUNTEE CULLEN,2018,16.7,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,5.0,0.0,P.S. 194 COUNTEE CULLEN,2018,15.6,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,5.0,0.0,P.S. 194 COUNTEE CULLEN,2018,28.9,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,5.0,0.0,P.S. 194 COUNTEE CULLEN,2018,20.8,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,5.0,0.0,P.S. 194 COUNTEE CULLEN,2018,14.3,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,5.0,0.0,P.S. 194 COUNTEE CULLEN,2018,19.5,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,20.0,0.0,P.S. 194 COUNTEE CULLEN,2018,16.7,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,20.0,0.0,P.S. 194 COUNTEE CULLEN,2018,15.6,1.0
05M194,P.S. 194 COUNTEE CULLEN,2017,20.0,0.0,P.S. 194 COUNTEE CULLEN,2018,28.9,1.0
